127.0.0.1 - - [14/Jul/2023:12:59:46 +0900] "GET / HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:59:48 +0900] "GET / HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:59:48 +0900] "GET /resources/css/info.css HTTP/1.1" 200 3600
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:59:48 +0900] "GET /resources/js/info.js HTTP/1.1" 200 7960
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:59:48 +0900] "GET /resources/img/rokoh.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:59:48 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:04 +0900] "GET /home HTTP/1.1" 200 13612
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:04 +0900] "GET /resources/css/slide.css HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:04 +0900] "GET /resources/css/home.css HTTP/1.1" 200 11727
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/js/home.js HTTP/1.1" 200 5410
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/images.png HTTP/1.1" 200 12625
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EC%A0%95%EC%88%98%EA%B8%B0.jpg HTTP/1.1" 200 27916
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0.jpg HTTP/1.1" 200 58765
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EB%AC%B4%EC%84%A0%EC%B2%AD%EC%86%8C%EA%B8%B0.jpg HTTP/1.1" 200 44146
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EC%8B%9D%EA%B8%B0%EC%84%B8%EC%B2%99%EA%B8%B0.jpg HTTP/1.1" 200 32023
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EB%A1%9C%EB%B4%87%EC%B2%AD%EC%86%8C%EA%B8%B0.jpg HTTP/1.1" 200 90246
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EB%B0%A5%EC%86%A5.jpg HTTP/1.1" 200 28606
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EB%A7%A4%ED%8A%B8%EB%A6%AC%EC%8A%A4.jpg HTTP/1.1" 200 320394
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EB%8B%AC%EB%A0%A5.png HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EC%85%8B%ED%8C%85.png HTTP/1.1" 200 4355
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EB%A8%B8%EB%8B%88.png HTTP/1.1" 200 4119
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EC%9A%94%EA%B8%88.png HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EC%9A%94%EA%B8%88%EB%B3%80%EA%B2%BD.png HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EC%9E%85%EA%B8%88%ED%99%95%EC%9D%B8.png HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%EB%8F%99%EC%98%81%EC%83%81%EC%A1%B0%ED%9A%8C.png HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/img/%ED%8F%AC%EC%9D%B8%ED%8A%B8%EC%A1%B0%ED%9A%8C.png HTTP/1.1" 200 5023
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:05 +0900] "GET /resources/video/%EB%8F%84%EC%8B%9C.mp4 HTTP/1.1" 206 9081059
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:08 +0900] "GET /user/login HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:08 +0900] "GET /resources/css/user/login.css HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:12 +0900] "POST /user/login HTTP/1.1" 200 14289
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:12 +0900] "GET /resources/video/%EB%8F%84%EC%8B%9C.mp4 HTTP/1.1" 206 9081059
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:18 +0900] "GET /product/adminList HTTP/1.1" 200 7610
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:18 +0900] "GET /resources/video/%ED%8B%B0%EB%B9%84CF.webm HTTP/1.1" 206 13647872
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:18 +0900] "GET /resources/css/adminList.css HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:21 +0900] "GET /product/adminList?pageNo=2&qty=10&type=&keyword= HTTP/1.1" 200 7168
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:22 +0900] "GET /product/adminList?pageNo=1&qty=10&type=&keyword= HTTP/1.1" 200 7610
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:25 +0900] "GET /resources/video/%ED%8B%B0%EB%B9%84CF.webm HTTP/1.1" 206 11886592
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:33 +0900] "GET /product/list?type_a=%EC%A0%95%EC%88%98%EA%B8%B0 HTTP/1.1" 200 5748
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:33 +0900] "GET /resources/css/list.css HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:33 +0900] "GET /resources/img/pc_best.png HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:33 +0900] "GET /resources/img/pc_new.png HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:33 +0900] "GET /upload/2023/07/10/106fa342-f434-4c8b-8a90-161f1ff0b7b7_th_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 16216
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:49 +0900] "GET /product/register HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:49 +0900] "GET /resources/js/productRegister.js HTTP/1.1" 200 3885
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:49 +0900] "GET /resources/css/register.css HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:01:56 +0900] "GET /consult/register HTTP/1.1" 200 3695
